,batch
0,0
1,1
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,1
17,0
18,0
19,1
20,0
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,0
29,0
30,1
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,1
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,0
60,1
61,1
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,1
72,1
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,1
86,1
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,1
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,1
117,1
118,1
119,0
120,0
121,0
122,1
123,1
124,0
125,0
126,0
127,0
128,1
129,0
130,0
131,0
132,0
133,1
134,0
135,1
136,0
137,0
138,0
139,1
140,0
141,0
142,0
143,1
144,1
145,0
146,1
147,1
148,0
149,1
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,1
158,0
159,1
160,0
161,0
162,1
163,1
164,0
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,0
173,0
174,0
175,1
176,1
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,1
186,1
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,1
198,1
199,0
200,0
201,1
202,0
203,1
204,1
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,0
218,1
219,1
220,0
221,1
222,1
223,1
224,1
225,0
226,1
227,0
228,0
229,1
230,0
231,0
232,1
233,1
234,0
235,1
236,1
237,0
238,1
239,1
240,0
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,1
254,0
255,1
256,1
257,1
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,1
266,0
267,0
268,1
269,1
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,1
284,1
285,0
286,0
287,1
288,0
289,1
290,1
291,0
292,1
293,0
294,0
295,1
296,1
297,1
298,0
299,0
300,1
301,1
302,1
303,1
304,1
305,0
306,1
307,0
308,0
309,1
310,0
311,1
312,1
313,0
314,0
315,1
316,1
317,1
318,1
319,0
320,1
321,0
322,1
323,1
324,0
325,0
326,0
327,0
328,1
329,0
330,0
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,1
339,1
340,1
341,0
342,0
343,1
344,0
345,0
346,0
347,1
348,1
349,1
350,1
351,0
352,1
353,0
354,1
355,0
356,0
357,1
358,1
359,0
360,1
361,1
362,0
363,0
364,1
365,1
366,1
367,1
368,1
369,0
370,0
371,1
372,1
373,0
374,1
375,1
376,0
377,1
378,1
379,1
380,1
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,0
391,0
392,1
393,1
394,0
395,1
396,1
397,1
398,0
399,1
400,1
401,0
402,0
403,0
404,0
405,1
406,0
407,1
408,1
409,0
410,1
411,1
412,0
413,1
414,0
415,0
416,1
417,1
418,1
419,1
420,0
421,0
422,1
423,0
424,1
425,0
426,1
427,0
428,1
429,1
430,0
431,1
432,1
433,0
434,0
435,0
436,0
437,1
438,0
439,1
440,1
441,0
442,0
443,1
444,0
445,1
446,0
447,1
448,1
449,0
450,0
451,0
452,0
453,0
454,1
455,1
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,1
466,0
467,1
468,1
469,0
470,0
471,0
472,1
473,1
474,0
475,0
476,1
477,0
478,1
479,0
480,0
481,0
482,0
483,1
484,0
485,1
486,0
487,0
488,0
489,0
490,1
491,0
492,1
493,1
494,1
495,0
496,0
497,0
498,0
499,1
500,0
501,1
502,0
503,0
504,1
505,1
506,0
507,1
508,1
509,0
510,1
511,1
512,1
513,0
514,1
515,1
516,0
517,0
518,0
519,1
520,0
521,1
522,1
523,0
524,0
525,1
526,0
527,0
528,0
529,1
530,0
531,0
532,1
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,1
546,0
547,0
548,0
549,1
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,1
558,0
559,0
560,1
561,0
562,0
563,0
564,0
565,0
566,0
567,1
568,0
569,1
570,0
571,0
572,0
573,1
574,1
575,0
576,1
577,0
578,1
579,0
580,1
581,0
582,0
583,0
584,0
585,0
586,1
587,0
588,0
589,0
590,1
591,0
592,1
593,1
594,1
595,1
596,0
597,0
598,0
599,1
600,0
601,0
602,1
603,0
604,0
605,0
606,0
607,1
608,1
609,0
610,1
611,1
612,0
613,1
614,1
615,0
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,1
624,0
625,1
626,0
627,0
628,1
629,1
630,0
631,1
632,1
633,0
634,1
635,0
636,0
637,0
638,0
639,0
640,1
641,0
642,0
643,1
644,1
645,1
646,1
647,0
648,0
649,1
650,1
651,1
652,0
653,1
654,0
655,0
656,0
657,0
658,1
659,1
660,1
661,0
662,1
663,0
664,0
665,1
666,1
667,1
668,0
669,1
670,1
671,0
672,1
673,1
674,0
675,1
676,1
677,0
678,0
679,0
680,0
681,1
682,1
683,0
684,0
685,1
686,0
687,0
688,1
689,0
690,0
691,0
692,1
693,0
694,1
695,0
696,0
697,1
698,1
699,0
700,0
701,0
702,1
703,1
704,1
705,1
706,1
707,1
708,0
709,0
710,1
711,1
712,1
713,0
714,0
715,1
716,1
717,0
718,1
719,0
720,0
721,1
722,0
723,1
724,1
725,1
726,1
727,0
728,0
729,1
730,1
731,1
732,1
733,0
734,0
735,1
736,0
737,1
738,0
739,0
740,1
741,1
742,1
743,1
744,1
745,0
746,1
747,1
748,0
749,0
750,1
751,1
752,1
753,1
754,1
755,0
756,0
757,1
758,1
759,0
760,0
761,1
762,0
763,1
764,0
765,0
766,0
767,1
768,0
769,0
770,0
771,0
772,1
773,1
774,0
775,1
776,0
777,1
778,0
779,0
780,1
781,0
782,0
783,1
784,1
785,0
786,1
787,0
788,0
789,0
790,0
791,0
792,0
793,1
794,0
795,0
796,1
797,0
798,0
799,0
800,0
801,1
802,1
803,0
804,0
805,1
806,0
807,1
808,0
809,0
810,0
811,0
812,0
813,1
814,0
815,0
816,0
817,0
818,1
819,1
820,1
821,0
822,0
823,0
824,1
825,1
826,1
827,0
828,0
829,0
830,1
831,0
832,1
833,1
834,1
835,0
836,1
837,1
838,1
839,0
840,1
841,0
842,1
843,1
844,0
845,1
846,0
847,0
848,0
849,1
850,1
851,0
852,0
853,0
854,0
855,1
856,1
857,0
858,1
859,1
860,0
861,1
862,1
863,0
864,0
865,0
866,0
867,1
868,0
869,0
870,1
871,1
872,0
873,1
874,0
875,0
876,1
877,1
878,1
879,1
880,1
881,1
882,0
883,0
884,1
885,0
886,1
887,0
888,0
889,0
890,1
891,1
892,1
893,1
894,1
895,0
896,1
897,0
898,1
899,0
900,0
901,0
902,1
903,1
904,1
905,1
906,1
907,0
908,0
909,0
910,1
911,0
912,0
913,0
914,1
915,1
916,0
917,0
918,0
919,0
920,0
921,0
922,1
923,1
924,1
925,0
926,1
927,1
928,1
929,1
930,1
931,0
932,0
933,1
934,0
935,1
936,0
937,0
938,0
939,1
940,1
941,0
942,1
943,0
944,1
945,0
946,1
947,1
948,0
949,1
950,1
951,1
952,0
953,1
954,0
955,1
956,0
957,1
958,0
959,0
960,0
961,0
962,0
963,0
964,1
965,1
966,0
967,0
968,0
969,0
970,1
971,0
972,1
973,0
974,0
975,0
976,1
977,1
978,1
979,0
980,0
981,1
982,0
983,0
984,0
985,0
986,0
987,0
988,1
989,0
990,1
991,0
992,0
993,1
994,0
995,1
996,0
997,1
998,1
999,0
1000,1
1001,1
1002,0
1003,1
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,0
1011,0
1012,0
1013,1
1014,1
1015,1
1016,1
1017,1
1018,0
1019,1
1020,1
1021,0
1022,0
1023,0
1024,1
1025,1
1026,0
1027,0
1028,0
1029,0
1030,0
1031,1
1032,1
1033,0
1034,0
1035,1
1036,1
1037,0
1038,1
1039,0
1040,0
1041,1
1042,1
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,1
1051,0
1052,0
1053,1
1054,0
1055,0
1056,0
1057,0
1058,1
1059,0
1060,0
