,p_hat
0,0.0989570788254186
1,0.33739207652061687
2,0.12473836748739989
3,0.18906265151997723
4,0.42583870705842014
5,0.29219103943079006
6,0.889827541473555
7,0.2872729867810482
8,0.14788231896618217
9,0.41434344889654673
10,0.45417526086942467
11,0.2639097989175036
12,0.21636477550028624
13,0.395310870848774
14,0.2592500604177737
15,0.6601242302285603
16,0.16007105249916878
17,0.28281335345201275
18,0.1763828619692815
19,0.31498920152051596
20,0.25633728341988354
21,0.650484526920915
22,0.275357482077722
23,0.28013128317757846
24,0.10647581012549459
25,0.5574385996238301
26,0.40181752773957674
27,0.16555459468893322
28,0.9090630747898285
29,0.2836285377829374
30,0.4064733254078187
31,0.38643894744322194
32,0.42358593670725075
33,0.7497037124511129
34,0.3126822265545873
35,0.5892819315326318
36,0.2839339676625538
37,0.2690568205166147
38,0.23182125380961335
39,0.19574353850494947
40,0.2353205277375476
41,0.3099286207731234
42,0.30716388226132774
43,0.3190055184302222
44,0.5678936423801447
45,0.6010501561359018
46,0.2660411328556505
47,0.28287340093954594
48,0.17550693613008692
49,0.3143210200009879
50,0.3773885235554314
51,0.4445535880919019
52,0.24160658299302096
53,0.14157071701690999
54,0.14179810625321632
55,0.12935522856633885
56,0.2281642313191821
57,0.5990451511949382
58,0.726895174458736
59,0.38774029285560296
60,0.3735049024971906
61,0.6901612946389845
62,0.17788301605600917
63,0.4512002804341577
64,0.2432041976644693
65,0.3802659136642479
66,0.13950732268256102
67,0.1853576859292299
68,0.40871749706415017
69,0.044099286673824
70,0.25071399318448534
71,0.5843386994547357
72,0.46273595164187703
73,0.1487873447004156
74,0.13179998658177267
75,0.08251291354373484
76,0.14540907776059256
77,0.570215650149664
78,0.18697733451473356
79,0.09474021282268678
80,0.19542509349598236
81,0.3716702562248471
82,0.8342671188385374
83,0.28241264809372396
84,0.7193276634003873
85,0.35620856889142244
86,0.3045690114564576
87,0.2419931105881991
88,0.3634269981842955
89,0.26859986425860116
90,0.3949238512582641
91,0.2209328647885966
92,0.3618692736140526
93,0.10326215144635101
94,0.3200995913212758
95,0.6466423410726838
96,0.2210314946558996
97,0.21239104367680717
98,0.5988037840399768
99,0.22200861224253307
100,0.25193886444784885
101,0.408533986176901
102,0.06485826954622989
103,0.7788920099320739
104,0.4230497775306347
105,0.390161837183236
106,0.1960041105870482
107,0.21762807868978915
108,0.2821448643344769
109,0.5869444453104895
110,0.3498242231242454
111,0.1884499717387685
112,0.2738615456748933
113,0.510041490786028
114,0.11721636895168151
115,0.3274867635385495
116,0.1758540242883302
117,0.9770331553818244
118,0.105984538617371
119,0.22208143311079492
120,0.36443252676444615
121,0.23936991418284384
122,0.35728566864844463
123,0.19973340989167046
124,0.2184801719845997
125,0.3482898234882556
126,0.18125908307671673
127,0.16954761544188904
128,0.25572521419594774
129,0.1345208045706029
130,0.33981410154097924
131,0.21234763221880376
132,0.19797108925528534
133,0.1541650657998571
134,0.19999417202406317
135,0.22800718395593453
136,0.37068207537956954
137,0.1943367081355418
138,0.6165379008680177
139,0.1351912002107016
140,0.3963552612611108
141,0.4315900768425288
142,0.36241074614439805
143,0.31906224578478826
144,0.3145035938130678
145,0.24559296749730328
146,0.14023962941602527
147,0.43887931333188257
148,0.5740395152906893
149,0.26648620634016795
150,0.09702966054107023
151,0.17146449977214237
152,0.39552385560258424
153,0.24386888936974638
154,0.5227259000260706
155,0.2429218288432635
156,0.45143559742458866
157,0.45221861710280403
158,0.3757365468891118
159,0.19017665749228232
160,0.19246400198741875
161,0.6014875451514461
162,0.1471685740569324
163,0.4027501843324284
164,0.21058708951601662
165,0.3314681110020908
166,0.1792155378445494
167,0.22561389307122798
168,0.1363525708336934
169,0.5260828789715223
170,0.20832022186568944
171,0.391979342547499
172,0.12518944548370167
173,0.44035099010667794
174,0.2217824632350084
175,0.3249491142718442
176,0.3348422248223404
177,0.20694582816765772
178,0.12313097131463598
179,0.09488037464709885
180,0.3622067613368351
181,0.24131956894066822
182,0.4714223193710102
183,0.3645596976037876
184,0.21715526870083943
185,0.26621820959163706
186,0.2797312578752142
187,0.26110849384791956
188,0.36964857556782105
189,0.536564781705114
190,0.3049287133987012
191,0.28048448976978
192,0.482104664369515
193,0.38538658733998604
194,0.34801118481015686
195,0.27524363620289377
196,0.5209776531954059
197,0.2547238745511885
198,0.3132269262066751
199,0.36647545805450815
200,0.3053786548979409
201,0.4195976098812894
202,0.3697385607720433
203,0.2740677730132133
204,0.7637386269988348
205,0.21957882324599642
206,0.16304703514238922
207,0.13750709567851974
208,0.4082252318567625
209,0.20140653375761472
210,0.42368691690682514
211,0.24563828350277073
212,0.35322753055335526
213,0.23103074866176013
214,0.2953118588932372
215,0.13562867542190676
216,0.1885992527192023
217,0.5982855192534262
218,0.10934842143969063
219,0.15296052806227312
220,0.286647650454626
221,0.2442703295980598
222,0.5000904874240132
223,0.46197105802985783
224,0.20381638561718657
225,0.22075563488991948
226,0.09186789948576078
227,0.16111173769513998
228,0.33546737431343493
229,0.2997205929397103
230,0.1483632275047006
231,0.2149478403082704
232,0.22979587122344566
233,0.25352494615019056
234,0.21682035664251156
235,0.6316703850793424
236,0.16650220713833058
237,0.16115281096816966
238,0.25192839273962864
239,0.21675772439504765
240,0.19734984514615303
241,0.20028599049315518
242,0.517060608312723
243,0.2636395024126496
244,0.16842126589345488
245,0.17309395332250394
246,0.20237241805436243
247,0.2949076347921202
248,0.23861546245526327
249,0.09733351608721841
250,0.30727173356806536
251,0.18685118389384645
252,0.2946320014725835
253,0.27262866976535355
254,0.21889843367338702
255,0.1957895693492199
256,0.14123905185265037
257,0.7531098263654079
258,0.6560378487995818
259,0.15660974468388428
260,0.37729271294241534
261,0.4310411479420203
262,0.07967333302267335
263,0.3588038911502683
264,0.2677611505277824
265,0.23503167978490397
266,0.45131574642752487
267,0.7924301152624187
268,0.22600099318793132
269,0.09498896245337828
270,0.4355885083424004
271,0.16843354592481485
272,0.24097150610539247
273,0.38910732133544995
274,0.3952641747656538
275,0.13556532191783072
276,0.4202231127316755
277,0.2491584194985806
278,0.02876984361917822
279,0.15238574831202306
280,0.34949963661231287
281,0.14486898067124043
282,0.4256706974727119
283,0.24905578634545222
284,0.4039006113777958
285,0.27711614606188323
286,0.08239891882850425
287,0.2529745455405224
288,0.9118173703283422
289,0.38562824061614276
290,0.15826838795564202
291,0.22397885679010945
292,0.29021023740227986
293,0.31510242558485974
294,0.5750056513926144
295,0.25724421718434404
296,0.4431130095477561
297,0.7802338812275951
298,0.2980880961795663
299,0.4063262833550877
300,0.19448149617690272
301,0.21235653785966396
302,0.22515353221720058
303,0.14431100565845512
304,0.09569202120915908
305,0.31879495448355566
306,0.3055937997777595
307,0.11354871747572287
308,0.12265158901088556
309,0.14341399416483552
310,0.2770748749810165
311,0.23379884529498726
312,0.16862843020002383
313,0.21102771775511744
314,0.35734130201838143
315,0.2807461777003771
316,0.8284418806795875
317,0.6179709521536111
318,0.8924149832731579
319,0.31016639184921335
320,0.16215890620657616
321,0.11160200997636838
322,0.746781983521989
323,0.15633863582307467
324,0.4635235394868248
325,0.30422343892137926
326,0.28891161864337356
327,0.8190463333517362
328,0.3884662291019241
329,0.247264010300624
330,0.49610185980506943
331,0.29839988731501366
332,0.2564218861549342
333,0.2302852863600067
334,0.5862167927607427
335,0.47784103829133195
336,0.14520184609908499
337,0.19160785427794588
338,0.2776944769119402
339,0.15697190346557013
340,0.3716111458281106
341,0.2803723925653766
342,0.4110151249957841
343,0.35484458087317194
344,0.39860307613871404
345,0.18197355327328288
346,0.20140560594470586
347,0.28081034375758596
348,0.14401206536418362
349,0.45707994954890346
350,0.7894984189616833
351,0.1262159846885524
352,0.4927845814270258
353,0.6337404421204366
354,0.19466412577736067
355,0.8569280921909369
356,0.22813536860882433
357,0.42103567761078375
358,0.2948924268512071
359,0.1839082831928456
360,0.3273121547167071
361,0.5257363766215674
362,0.22816910305791385
363,0.6413967331774655
364,0.2802723946736776
365,0.5653041343497288
366,0.4975194615380763
367,0.14019978031604138
368,0.10087938558758541
369,0.14162350578761806
370,0.2410351398347881
371,0.47581524546927717
372,0.2572633637364746
373,0.2881133725070501
374,0.15742564751827823
375,0.3608360331160417
376,0.32214808508738885
377,0.3597279984369777
378,0.2434925525996785
379,0.32916568712281485
380,0.3807642998358018
381,0.26611036106225694
382,0.2978772097537634
383,0.21428524497606735
384,0.5294789134900658
385,0.14043787877149796
386,0.17763231170112168
387,0.12148258898578707
388,0.2586799290340702
389,0.5536681788659364
390,0.4160455024017983
391,0.24985917564615354
392,0.38958920670792746
393,0.42143710099125936
394,0.36245771058121
395,0.3885150270996215
396,0.20832820456388115
397,0.1850118959315766
398,0.5716236280608383
399,0.44474701622400253
400,0.731916504607441
401,0.2833444069671807
402,0.3552398763117509
403,0.5380855724002989
404,0.4247880960111196
405,0.07048484916149533
406,0.2506728006403035
407,0.11188057838156325
408,0.1278312269181896
409,0.24583925486067987
410,0.4416543531908993
411,0.29741402807811174
412,0.47499593745333907
413,0.8366265501746976
414,0.13854353019084986
415,0.24208787812580743
416,0.3973586965653826
417,0.30615732313850097
418,0.21850041449721863
419,0.4107236092116766
420,0.23742444341889793
421,0.23880259957461214
422,0.23906774661863833
423,0.14390260344260275
424,0.27772841902956136
425,0.15023893812832426
426,0.25560123494471015
427,0.12520625501394012
428,0.2858992459120863
429,0.33522450890965066
430,0.33834255245840605
431,0.2492226040201578
432,0.1971645789335018
433,0.09926833820346627
434,0.476027503117553
435,0.796937607952458
436,0.22087888022485916
437,0.3300853503899747
438,0.4905170932975616
439,0.220908559135991
440,0.40714194462644254
441,0.6166858617504488
442,0.5775673004062315
443,0.3416559495914294
444,0.2118134709840178
445,0.43987628304367243
446,0.6144538403842845
447,0.41602870797796443
448,0.5155736694940913
449,0.3803209539167005
450,0.4140651780214919
451,0.33260588712805367
452,0.3944854229141587
453,0.20840029306252295
454,0.318738469702328
455,0.1783564869465813
456,0.7141201329012065
457,0.8756712799946292
458,0.2057520011953558
459,0.2669405615880133
460,0.21861647678662546
461,0.556021495126106
462,0.3371880489446093
463,0.2959836199598624
464,0.35961163104193716
465,0.1612065691704519
466,0.2717560384606001
467,0.406729521810942
468,0.17633500193407825
469,0.28063899049127905
470,0.42060167681680455
471,0.09270020609157444
472,0.48512801670002614
473,0.3246576411873595
474,0.18368140541679656
475,0.2863041694650406
476,0.27320355374868566
477,0.23942850108390695
478,0.12975501054225239
479,0.06500244404661978
480,0.23344148885946692
481,0.41865974357284
482,0.29490591657505566
483,0.3820856358611523
