,0
0,SSTR2
1,CRNDE
2,IRX3
3,PHLDA1
4,NEUROD1
5,RALYL
6,SSBP2
7,LMO4
8,IRX5
9,EPHA5
10,ONECUT2
11,BTBD3
12,TPH1
13,SNAP25
14,PTPRN
15,PCSK1
16,SCG2
17,ID4
18,C1GALT1
19,AC010247.2
20,MAP1LC3A
21,LIMCH1
22,RAB3C
23,SYT13
24,OSBPL1A
25,FOXP2
26,VGF
27,CNR1
28,CARTPT
29,RXRG
30,DUSP4
31,RPLP1
32,ARHGAP18
33,MAB21L1
34,SEPTIN6
35,EPHA5-AS1
36,TBCA
37,DNAJC12
38,MARK1
39,DNAJA1
40,PTPRK
41,PROX1
42,TENM1
43,NPTX1
44,BEX5
45,CYSTM1
46,NLGN1
47,GRIN2B
48,RUNX1T1
49,FTO
50,TLE1
51,VAT1
52,BEX1
53,DDC
54,DACH1
55,CASK
56,MAD1L1
57,CASC15
58,MBP
59,POU6F2
60,GSTM3
61,CNTNAP3B
62,ONECUT1
63,CYCS
64,MAP1LC3B
65,BEX3
66,HSP90B1
67,DMAC1
68,NR2F1
69,STXBP1
70,AFF3
71,TMSB10
72,GNAI1
73,ATP6V0C
74,CHD5
75,PAM
76,NEFL
77,DNER
78,ARMCX3
79,LNPK
80,NRXN1
81,RTN4
82,ELL2
83,GRB14
84,ANKRD29
85,SYAP1
86,WNT4
87,PCBD1
88,SEC11C
89,ITPRID2
90,NDUFA5
91,PRKACB
92,TCEAL5
93,RGMA
94,TLE5
95,ARMH4
96,SH3BGRL3
97,ONECUT3
98,PCDH10
99,DOK5
100,ATP6V1G1
101,SELENOK
102,NEFM
103,BMERB1
104,TMSB4X
105,COTL1
106,GNAL
107,AKAP12
108,CALM2
109,IGFBPL1
110,ARFGEF3
111,ATP1A3
112,SARAF
113,CPE
114,FIGN
115,TSC22D3
116,ATP5MC1
117,ID2
118,CRIM1
119,DCLK1
120,EPS15
121,ATP1A1
122,LRRC3B
123,TSPYL4
124,DYNC1LI1
125,FOS
126,ATP1B3
127,CDKN2D
128,ELAVL2
129,AFF2
130,SPCS2
131,BCL11A
132,MTURN
133,GCHFR
134,ARID5B
135,FNDC5
136,SHC4
137,SLC7A8
138,ARX
139,UNCX
140,TLE2
141,GABBR2
142,SRGAP3
143,NDRG4
144,CALR
145,YWHAH
146,TES
147,CTNNA2
148,MORF4L2
149,BAALC
150,AAK1
151,TTC39C
152,BEX2
153,PPFIA2
154,GLRX
155,EIF1
156,CENPV
157,TMEM132B
158,CALY
159,NRBP1
160,LONRF2
161,DYNLL1
162,IGSF21
163,HTR2A
164,PCBP1
165,DPCD
166,PITPNC1
167,SLC22A17
168,DMD
169,NCS1
170,SYT5
171,LUZP2
172,HSPE1
173,UBL3
174,KCNIP4
175,TRAPPC5
176,MAL2
177,PDE10A
178,GALNTL6
179,SCOC
180,RCAN2
181,HMGA1
182,PTPRD
183,C17orf75
184,SSNA1
185,ARG2
186,PLD3
187,ATP1B1
188,PDHA1
189,JAK1
190,YWHAG
191,TARS
192,VIM
193,SOX4
194,AHI1
195,HPGD
196,PRDX5
197,COX7B
198,GNB4
199,RGS7
200,ATP6V0A1
201,REEP5
202,PJA2
203,NDUFB6
204,LSAMP
205,CCDC50
206,CCDC90B
207,YWHAQ
208,NAGK
209,MBNL2
210,ANK2
211,DDX24
212,DNAJB6
213,AC027031.2
214,POU2F2
215,NDUFB8
216,AKAP7
217,CSRP2
218,LARP6
219,CD320
220,HM13
221,HSPA5
222,DYNLRB1
223,PLXNA4
224,CALM3
225,PKIA
226,SIK3
227,S100A6
228,MRPS18C
229,UBE2QL1
230,NDUFA13
231,GNB2
232,DSTN
233,SUCLA2
234,DAD1
235,QKI
236,MVB12B
237,PALM2-AKAP2
238,MRPL36
239,LYPD1
240,STON2
241,ARPC5
242,TXNDC16
243,AHSA1
244,DDX21
245,CAST
246,SEMA6A
247,PDIA4
248,ID1
249,CRYBG3
250,CLTC
251,SAT2
252,TPM3
253,C1QTNF4
254,GNG3
255,KCNMA1
256,NDUFS6
257,CDC40
258,SEMA3A
259,MXRA7
260,STRAP
261,PRKAR1A
262,ARF4
