,0
0,LMO4
1,SSTR2
2,CRNDE
3,NR2F1
4,NEUROD1
5,EPHA5
6,IRX3
7,RALYL
8,SSBP2
9,IRX5
10,ONECUT2
11,FOXP2
12,PTPRN
13,PHLDA1
14,SCG2
15,SYT13
16,TPH1
17,BEX3
18,RAB3C
19,AC010247.2
20,MAB21L1
21,TXN
22,LUZP2
23,DACH1
24,RPLP1
25,BTBD3
26,MAP1LC3A
27,LIMCH1
28,ID4
29,CNR1
30,TMSB10
31,NEFM
32,ITPRID2
33,DNAJC12
34,MAP2
35,PAM
36,DDC
37,KIF21A
38,TRA2B
39,SEPTIN6
40,CPE
41,PPDPF
42,ELAVL2
43,VIM
44,C1GALT1
45,SARAF
46,TLE5
47,EPHA5-AS1
48,LNPK
49,CNTNAP3B
50,SNX4
51,OSBPL1A
52,PKIA
53,GALNTL6
54,ITGB1
55,TENM1
56,SEPTIN11
57,NRXN1
58,DUSP4
59,ATP6V0E2
