,exp_name,True labels,Compare_labels,info,precision,recall,fdr,f1_score
0,naiveB_1900_memoryB_154,Naive B/Memory B,Control/Case,,,0.0,,
1,naiveB_1900_memoryB_154,Naive B/Memory B,Refined labels,LinearSCVI_10_linear,0.7222222222222222,0.9154929577464789,0.2777777777777778,0.8074534161490683
2,naiveB_1900_memoryB_154,Naive B/Memory B,Refined labels,LinearSCVI_10_svm,0.6881720430107527,0.9014084507042254,0.3118279569892473,0.7804878048780488
3,naiveB_1900_memoryB_154,Naive B/Memory B,Refined labels,LinearSCVI_25_linear,0.6597938144329897,0.9014084507042254,0.3402061855670103,0.7619047619047619
4,naiveB_1900_memoryB_154,Naive B/Memory B,Refined labels,LinearSCVI_25_svm,0.6956521739130435,0.9014084507042254,0.30434782608695654,0.7852760736196318
5,naiveB_1900_memoryB_154,Naive B/Memory B,Refined labels,LinearSCVI_50_linear,0.873015873015873,0.7746478873239436,0.12698412698412698,0.8208955223880596
6,naiveB_1900_memoryB_154,Naive B/Memory B,Refined labels,LinearSCVI_50_svm,0.8703703703703703,0.6619718309859155,0.12962962962962962,0.752
7,naiveB_1900_memoryB_154,Naive B/Memory B,Refined labels,PCA_linear,0.7948717948717948,0.8732394366197183,0.20512820512820512,0.832214765100671
8,naiveB_1900_memoryB_154,Naive B/Memory B,Refined labels,PCA_svm,0.7317073170731707,0.8450704225352113,0.2682926829268293,0.7843137254901961
9,naiveB_1900_memoryB_154,Naive B/Memory B,Refined labels,SCVI_10_linear,0.84375,0.7605633802816901,0.15625,0.8
10,naiveB_1900_memoryB_154,Naive B/Memory B,Refined labels,SCVI_10_svm,0.8412698412698413,0.7464788732394366,0.15873015873015872,0.791044776119403
11,naiveB_1900_memoryB_154,Naive B/Memory B,Refined labels,SCVI_25_linear,0.8103448275862069,0.6619718309859155,0.1896551724137931,0.7286821705426356
12,naiveB_1900_memoryB_154,Naive B/Memory B,Refined labels,SCVI_25_svm,0.8775510204081632,0.6056338028169014,0.12244897959183673,0.7166666666666666
13,naiveB_1900_memoryB_154,Naive B/Memory B,Refined labels,SCVI_50_linear,0.7962962962962963,0.6056338028169014,0.2037037037037037,0.688
14,naiveB_1900_memoryB_154,Naive B/Memory B,Refined labels,SCVI_50_svm,0.9230769230769231,0.5070422535211268,0.07692307692307693,0.6545454545454545
