Dataset,DimReduction,PredictionMethod,AUCROC,AP,Recall,Precision,F1
naiveB_1900_memoryB_1555,LinearSCVI_10,Logistic,0.9769933998984601,0.9669447560222302,0.9498392282958199,0.9952830188679245,0.9720302731161566
naiveB_1900_memoryB_1555,LinearSCVI_10,SVM,0.9768661364020985,0.9663557316811505,0.9543408360128617,0.9939718687206965,0.973753280839895
naiveB_1900_memoryB_1555,LinearSCVI_25,Logistic,0.9773003892367573,0.9673665559459508,0.9581993569131833,0.9920106524633822,0.9748119070984625
naiveB_1900_memoryB_1555,LinearSCVI_25,SVM,0.977196818412591,0.9672881009029763,0.9601286173633441,0.992686170212766,0.9761359921542988
naiveB_1900_memoryB_1555,LinearSCVI_50,Logistic,0.977367067185649,0.9677763372577769,0.9517684887459807,0.9932885906040269,0.9720853858784894
naiveB_1900_memoryB_1555,LinearSCVI_50,SVM,0.977210864782535,0.9671469424682319,0.9536977491961415,0.9939678284182306,0.9734164752215294
naiveB_1900_memoryB_1555,PCA,Logistic,0.9781299712303265,0.9686477673110985,0.9543408360128617,0.9933065595716198,0.9734339127582814
naiveB_1900_memoryB_1555,PCA,Mixscape,0.9851433406667796,0.9787806483309511,1.0,0.9004053271569196,0.9475929311395491
naiveB_1900_memoryB_1555,PCA,SVM,0.9778162125571164,0.9674558739485174,0.954983922829582,0.9933110367892977,0.9737704918032787
naiveB_1900_memoryB_1555,SCVI_10,Logistic,0.9678358436283635,0.958385258135915,0.9427652733118971,0.9905405405405405,0.9660626029654036
naiveB_1900_memoryB_1555,SCVI_10,SVM,0.9673712980199696,0.9564732194046678,0.9408360128617363,0.9911924119241192,0.9653579676674364
naiveB_1900_memoryB_1555,SCVI_25,Logistic,0.9732827889659841,0.963319461308794,0.935048231511254,0.9924914675767919,0.9629139072847681
naiveB_1900_memoryB_1555,SCVI_25,SVM,0.9730052462345575,0.9625909821688285,0.9363344051446946,0.9931787175989086,0.9639192320423701
naiveB_1900_memoryB_1555,SCVI_50,Logistic,0.9734235911321713,0.959962800258316,0.9434083601286174,0.9892110586648685,0.9657669519420671
naiveB_1900_memoryB_1555,SCVI_50,SVM,0.9734168217972584,0.9591626862497172,0.9434083601286174,0.9898785425101214,0.9660849522555154
