Dataset,True labels,DimReduction,PredictionMethod,Approach,Precision,Recall,FDR,F1
naiveB_1900_memoryB_1555,Naive B/Memory B,NA,NA,sample,0.9898477157360406,0.78,0.01015228426395939,0.8724832214765101
naiveB_1900_memoryB_1555,Naive B/Memory B,LinearSCVI_10,Logistic,LinearSCVI_10_Logistic,0.9223484848484849,0.974,0.07765151515151515,0.9474708171206225
naiveB_1900_memoryB_1555,Naive B/Memory B,LinearSCVI_10,SVM,LinearSCVI_10_SVM,0.9330783938814532,0.976,0.06692160611854685,0.9540566959921798
naiveB_1900_memoryB_1555,Naive B/Memory B,LinearSCVI_25,Logistic,LinearSCVI_25_Logistic,0.9288461538461539,0.966,0.07115384615384615,0.9470588235294117
naiveB_1900_memoryB_1555,Naive B/Memory B,LinearSCVI_25,SVM,LinearSCVI_25_SVM,0.9217557251908397,0.966,0.07824427480916031,0.943359375
naiveB_1900_memoryB_1555,Naive B/Memory B,LinearSCVI_50,Logistic,LinearSCVI_50_Logistic,0.9342359767891683,0.966,0.06576402321083172,0.9498525073746313
naiveB_1900_memoryB_1555,Naive B/Memory B,LinearSCVI_50,SVM,LinearSCVI_50_SVM,0.937984496124031,0.968,0.06201550387596899,0.952755905511811
naiveB_1900_memoryB_1555,Naive B/Memory B,PCA,Logistic,PCA_Logistic,0.936046511627907,0.966,0.06395348837209303,0.9507874015748031
naiveB_1900_memoryB_1555,Naive B/Memory B,PCA,Mixscape,PCA_Mixscape,0.9898477157360406,0.78,0.01015228426395939,0.8724832214765101
naiveB_1900_memoryB_1555,Naive B/Memory B,PCA,SVM,PCA_SVM,0.9168241965973535,0.97,0.0831758034026465,0.9426627793974733
naiveB_1900_memoryB_1555,Naive B/Memory B,SCVI_10,Logistic,SCVI_10_Logistic,0.9245647969052224,0.956,0.07543520309477757,0.9400196656833825
naiveB_1900_memoryB_1555,Naive B/Memory B,SCVI_10,SVM,SCVI_10_SVM,0.9169811320754717,0.972,0.0830188679245283,0.9436893203883495
naiveB_1900_memoryB_1555,Naive B/Memory B,SCVI_25,Logistic,SCVI_25_Logistic,0.9144486692015209,0.962,0.08555133079847908,0.9376218323586745
naiveB_1900_memoryB_1555,Naive B/Memory B,SCVI_25,SVM,SCVI_25_SVM,0.903954802259887,0.96,0.096045197740113,0.9311348205625606
naiveB_1900_memoryB_1555,Naive B/Memory B,SCVI_50,Logistic,SCVI_50_Logistic,0.9157088122605364,0.956,0.0842911877394636,0.9354207436399217
naiveB_1900_memoryB_1555,Naive B/Memory B,SCVI_50,SVM,SCVI_50_SVM,0.921455938697318,0.962,0.07854406130268199,0.9412915851272016
